"Symbol","Description","Category2","Category3","GICS Sector","Market cap","Dividend yield","Price to TTM earnings","Price to TTM sales","Price to book value","Action"
"PRU","Prudential Financial Inc","Common stocks","Large cap","Financials","$40,411,980,000","4.23%","5.60","0.57","0.66","Analyze"
"PTC","PTC Inc","Common stocks","Large cap","Information Technology","$14,271,926,262","0.00%","29.78","7.90","6.97","Analyze"
"PEG","Public Service Enterprise Group Inc","Common stocks","Large cap","Utilities","$32,660,278,851","3.13%","-49.32","3.60","2.32","Analyze"
"PSA","Public Storage","REITs","Large cap","Real Estate","$64,079,816,861","2.17%","41.52","19.71","7.05","Analyze"
"PHM","Pultegroup Inc","Common stocks","Large cap","Consumer Discretionary","$13,808,746,278","1.04%","8.08","1.08","1.94","Analyze"
"PVH","PVH Corp","Common stocks","Mid cap","Consumer Discretionary","$6,898,395,258","0.04%","24.91","0.00","1.36","Analyze"
"QRVO","Qorvo, Inc.","Common stocks","Large cap","Information Technology","$16,688,898,800","0.00%","15.17","3.68","3.55","Analyze"
"QCOM","Qualcomm Inc","Common stocks","Large cap","Information Technology","$203,145,600,000","1.49%","22.63","6.05","20.57","Analyze"
"PWR","Quanta Services Inc","Common stocks","Large cap","Industrials","$15,891,519,706","0.22%","28.92","1.33","3.44","Analyze"
"DGX","Quest Diagnostics Inc","Common stocks","Large cap","Health Care","$20,581,146,331","1.44%","9.40","1.86","3.21","Analyze"
"RL","Ralph Lauren Corp Class A","Common stocks","Mid cap","Consumer Discretionary","$8,158,015,354","1.84%","13.54","1.46","1.91","Analyze"
"RJF","Raymond James Inc","Common stocks","Large cap","Financials","$20,201,784,395","1.06%","14.61","2.08","2.47","Analyze"
"RTX","Raytheon Technologies Corporation","Common stocks","Large cap","Industrials","$125,834,104,770","2.36%","38.36","1.97","1.78","Analyze"
"O","Realty Income Corporation","REITs","Large cap","Real Estate","$27,947,278,800","4.02%","59.11","15.59","2.10","Analyze"
"REG","Regency Centers Corporation","REITs","Large cap","Real Estate","$12,488,276,439","3.26%","21.90","11.07","2.05","Analyze"
"REGN","Regeneron Pharmaceuticals Inc","Common stocks","Large cap","Health Care","$65,279,821,968","0.00%","9.45","4.82","3.83","Analyze"
"RF","Regions Financial Corp","Common stocks","Large cap","Financials","$20,343,051,175","3.01%","7.97","3.18","1.10","Analyze"
"RSG","Republic Services Inc","Common stocks","Large cap","Industrials","$42,512,899,166","1.29%","35.41","3.89","4.84","Analyze"
"RMD","Resmed Inc","Common stocks","Large cap","Health Care","$38,135,746,261","0.62%","75.47","11.39","12.46","Analyze"
"RHI","Robert Half","Common stocks","Large cap","Industrials","$12,044,814,771","1.40%","23.15","2.01","9.24","Analyze"
"ROK","Rockwell Automation Inc","Common stocks","Large cap","Industrials","$39,252,909,159","1.27%","29.05","5.61","16.51","Analyze"
"ROL","Rollins Inc","Common stocks","Large cap","Industrials","$16,046,737,920","1.04%","46.35","6.80","14.64","Analyze"
"ROP","Roper Technologies Inc","Common stocks","Large cap","Industrials","$49,861,261,258","0.47%","45.00","8.20","4.45","Analyze"
"ROST","Ross Stores Inc","Common stocks","Large cap","Consumer Discretionary","$38,523,541,007","1.04%","45.18","0.00","9.77","Analyze"
"RCL","Royal Caribbean Cruises Ltd","Common stocks","Large cap","Consumer Discretionary","$20,245,601,243","0.00%","-3.84","34.67","3.13","Analyze"
"SPGI","S&P Global Inc","Common stocks","Large cap","Financials","$114,055,660,000","0.65%","40.73","14.12","61.88","Analyze"
"CRM","Salesforce.Com Inc","Common stocks","Large cap","Information Technology","$249,008,000,000","0.00%","143.38","9.97","4.37","Analyze"
"SBAC","SBA Communications Corporation","REITs","Large cap","Real Estate","$41,366,287,941","0.61%","139.23","18.39","-8.27","Analyze"
"SLB","Schlumberger Nv","Common stocks","Large cap","Energy","$41,377,661,287","1.69%","25.08","1.86","3.10","Analyze"
"STX","Seagate Technology Plc","Common stocks","Large cap","Information Technology","$24,558,971,093","1.24%","18.88","2.21","39.31","Analyze"
"SEE","Sealed Air Corp","Common stocks","Mid cap","Materials","$9,633,149,934","1.16%","20.70","1.80","75.87","Analyze"
"SRE","Sempra Energy","Common stocks","Large cap","Utilities","$41,244,447,232","4.21%","38.84","3.39","1.68","Analyze"
"NOW","Servicenow Inc","Common stocks","Large cap","Information Technology","$128,142,070,000","0.00%","584.94","23.17","36.52","Analyze"
"SHW","Sherwin Williams","Common stocks","Large cap","Materials","$88,811,095,509","0.65%","45.10","4.51","32.98","Analyze"
"SPG","Simon Property Group, Inc","REITs","Large cap","Real Estate","$51,108,894,181","3.71%","25.36","10.38","15.12","Analyze"
"SWKS","Skyworks Solutions Inc","Common stocks","Large cap","Information Technology","$25,208,325,102","1.38%","16.93","4.93","4.79","Analyze"
"SNA","Snap On Inc","Common stocks","Large cap","Industrials","$11,184,562,932","2.43%","14.00","2.45","2.79","Analyze"
"SO","Southern Co","Common stocks","Large cap","Utilities","$70,635,932,001","3.87%","23.54","3.14","2.43","Analyze"
"LUV","Southwest Airlines","Common stocks","Large cap","Industrials","$24,339,746,576","0.00%","12,394.91","1.91","2.42","Analyze"
"SWK","Stanley Black & Decker Inc","Common stocks","Large cap","Industrials","$29,181,314,437","1.66%","16.45","1.70","2.62","Analyze"
"SBUX","Starbucks Corp","Common stocks","Large cap","Consumer Discretionary","$131,093,368,000","1.64%","31.39","4.51","-24.78","Analyze"
"STT","State Street Corp","Common stocks","Large cap","Financials","$31,804,953,325","2.28%","13.27","2.95","1.17","Analyze"
"STE","STERIS PLC","Common stocks","Large cap","Health Care","$23,489,401,790","0.70%","95.93","7.73","3.69","Analyze"
"SYK","Stryker Corp","Common stocks","Large cap","Health Care","$99,572,270,622","0.95%","53.24","5.97","7.13","Analyze"
"SIVB","SVB Financial Group","Common stocks","Large cap","Financials","$39,478,421,724","0.00%","22.15","7.09","2.77","Analyze"
"SYF","Synchrony Financial","Common stocks","Large cap","Financials","$25,146,559,183","1.90%","6.16","1.64","1.81","Analyze"
"SNPS","Synopsys Inc","Common stocks","Large cap","Information Technology","$55,978,908,123","0.00%","74.17","13.32","10.61","Analyze"
"SYY","Sysco Corp","Common stocks","Large cap","Consumer Staples","$38,587,642,938","2.42%","57.34","0.69","23.48","Analyze"
"TMUS","T Mobile US Inc","Common stocks","Large cap","Communication Services","$150,585,893,456","0.00%","44.68","1.89","2.19","Analyze"
"TROW","T Rowe Price Group Inc","Common stocks","Large cap","Financials","$43,163,495,615","2.21%","14.14","5.80","5.31","Analyze"
"TTWO","Take Two Interactive Software Inc","Common stocks","Large cap","Communication Services","$20,479,547,989","0.00%","36.41","6.07","5.91","Analyze"
"TPR","Tapestry","Common stocks","Large cap","Consumer Discretionary","$11,302,860,350","1.21%","13.69","1.87","3.60","Analyze"
"TGT","Target Corp","Common stocks","Large cap","Consumer Discretionary","$104,324,441,905","1.44%","15.61","1.01","7.67","Analyze"
"TEL","TE Connectivity Ltd","Common stocks","Large cap","Information Technology","$51,152,881,530","1.26%","22.87","3.43","4.86","Analyze"
"TDY","Teledyne Technologies Inc","Common stocks","Large cap","Information Technology","$19,872,772,217","0.00%","48.13","4.91","2.70","Analyze"
"TFX","Teleflex Inc","Common stocks","Large cap","Health Care","$15,374,044,141","0.41%","35.38","5.57","4.19","Analyze"
"TER","Teradyne Inc","Common stocks","Large cap","Information Technology","$26,227,398,306","0.25%","26.88","7.33","10.44","Analyze"
"TSLA","Tesla Inc","Common stocks","Large cap","Consumer Discretionary","$1,013,172,681,237","0.00%","308.98","21.63","39.61","Analyze"
"TXN","Texas Instrument Inc","Common stocks","Large cap","Information Technology","$172,634,723,966","2.23%","23.70","9.82","14.24","Analyze"
"TXT","Textron Inc","Common stocks","Large cap","Industrials","$16,531,891,275","0.11%","21.59","1.29","2.77","Analyze"
"TMO","Thermo Fisher Scientific Inc","Common stocks","Large cap","Health Care","$256,801,138,298","0.16%","29.94","6.57","6.62","Analyze"
"TJX","TJX Companies, Inc.","Common stocks","Large cap","Consumer Discretionary","$88,273,001,156","1.40%","46.73","1.93","13.65","Analyze"
"TSCO","Tractor Supply","Common stocks","Large cap","Consumer Discretionary","$25,873,546,673","0.91%","28.50","2.11","12.86","Analyze"
"TT","Trane Technologies plc","Common stocks","Large cap","Industrials","$46,603,007,522","1.20%","34.71","3.39","7.24","Analyze"
"TDG","Transdigm Group Inc","Common stocks","Large cap","Industrials","$33,961,499,445","0.00%","51.02","7.08","-11.90","Analyze"
"TRV","Travelers Companies Inc","Common stocks","Large cap","Financials","$38,055,083,792","2.24%","10.49","1.11","1.34","Analyze"
"TRMB","Trimble Inc","Common stocks","Large cap","Information Technology","$21,556,600,447","0.00%","38.76","6.05","5.57","Analyze"
"TFC","Truist Financial Corporation","Common stocks","Large cap","Financials","$76,542,680,101","3.21%","13.44","3.43","1.12","Analyze"
"TWTR","Twitter Inc","Common stocks","Large cap","Communication Services","$35,102,873,249","0.00%","-195.10","7.31","4.92","Analyze"
"TYL","Tyler Technologies Inc","Common stocks","Large cap","Information Technology","$21,544,534,262","0.00%","133.33","14.94","9.74","Analyze"
"TSN","Tyson Foods Inc Class A","Common stocks","Large cap","Consumer Staples","$30,926,070,480","2.10%","8.24","0.66","1.42","Analyze"
"UDR","UDR, Inc","REITs","Large cap","Real Estate","$18,183,250,949","2.44%","330.69","14.61","5.86","Analyze"
"ULTA","Ulta Beauty Inc","Common stocks","Large cap","Consumer Discretionary","$20,993,756,308","0.00%","24.47","2.59","10.69","Analyze"
"UAA","Under Armour Inc Class A","Common stocks","Mid cap","Consumer Discretionary","$8,423,627,520","0.00%","8.95","1.52","1.97","Analyze"
"UA","Under Armour Inc Class C","Common stocks","Mid cap","Consumer Discretionary","$8,423,627,520","0.00%","10.21","1.52","2.25","Analyze"
